train_loss: 1.6180325468381247,val_loss: 1.5764652729034423, val_perplexity: 4.837825161301398
train_loss: 1.587032961845398,val_loss: 1.5797470370928446, val_perplexity: 4.85372784282309
train_loss: 1.6063115437825521,val_loss: 1.572846488157908, val_perplexity: 4.820349752348703
train_loss: 1.5945946335792542,val_loss: 1.584193766117096, val_perplexity: 4.875359113854317
train_loss: 1.6085907101631165,val_loss: 1.5906711578369142, val_perplexity: 4.9070412225510776
train_loss: 1.5905879974365233,val_loss: 1.595105528831482, val_perplexity: 4.92884918036999
train_loss: 1.5756023844083151,val_loss: 1.6006089687347411, val_perplexity: 4.956049584868688
train_loss: 1.565081278483073,val_loss: 1.5833811481793723, val_perplexity: 4.8713989188662215
train_loss: 1.6034111022949218,val_loss: 1.5729475696881612, val_perplexity: 4.820837025304758
train_loss: 1.5950014392534893,val_loss: 1.5930839816729228, val_perplexity: 4.918895343779307
train_loss: 1.5924985488255818,val_loss: 1.5767251610755921, val_perplexity: 4.839082618231762
train_loss: 1.592572033405304,val_loss: 1.5764588832855224, val_perplexity: 4.83779424954581
train_loss: 1.6188302914301553,val_loss: 1.5842311779658, val_perplexity: 4.875541513463794
train_loss: 1.5802660743395487,val_loss: 1.5801900307337442, val_perplexity: 4.855878489718396
train_loss: 1.5745031515757242,val_loss: 1.6046756903330486, val_perplexity: 4.9762454964990654
train_loss: 1.5816718141237895,val_loss: 1.6047422409057617, val_perplexity: 4.9765766795069055
train_loss: 1.5843087196350099,val_loss: 1.5970053990681967, val_perplexity: 4.938222255222652
train_loss: 1.6037607034047445,val_loss: 1.5826183676719665, val_perplexity: 4.86768452753986
train_loss: 1.6007819056510926,val_loss: 1.5963804165522257, val_perplexity: 4.935136916894843
train_loss: 1.5898842493693033,val_loss: 1.5910885016123453, val_perplexity: 4.909089573064531
train_loss: 1.592130712668101,val_loss: 1.582915997505188, val_perplexity: 4.869133511293668
train_loss: 1.6301987171173096,val_loss: 1.5797327597935995, val_perplexity: 4.853658545192916
train_loss: 1.598880449930827,val_loss: 1.5665130694707234, val_perplexity: 4.789916932769715
train_loss: 1.573814082145691,val_loss: 1.579335335890452, val_perplexity: 4.851729968525958
train_loss: 1.6099218845367431,val_loss: 1.575090193748474, val_perplexity: 4.831177340454146
train_loss: 1.5851097186406453,val_loss: 1.5810927470525107, val_perplexity: 4.860263949588299
train_loss: 1.5976626873016357,val_loss: 1.5765169461568196, val_perplexity: 4.838075153925663
train_loss: 1.587447222073873,val_loss: 1.5752542893091837, val_perplexity: 4.831970180257683
train_loss: 1.597861893971761,val_loss: 1.5803229093551636, val_perplexity: 4.856523775029252
train_loss: 1.6015546917915344,val_loss: 1.5869157274564107, val_perplexity: 4.888647730222814
train_loss: 1.5835495114326477,val_loss: 1.5907016793886821, val_perplexity: 4.907190995349417
train_loss: 1.5927845080693563,val_loss: 1.5769122997919718, val_perplexity: 4.839988282681191
train_loss: 1.5936086495717368,val_loss: 1.578567337989807, val_perplexity: 4.84800528055498
train_loss: 1.593129022916158,val_loss: 1.5529916127522787, val_perplexity: 4.7255861811437185
train_loss: 1.581874152024587,val_loss: 1.5899113655090331, val_perplexity: 4.903314306298066
train_loss: 1.5928808371225993,val_loss: 1.57843097448349, val_perplexity: 4.847344234628574
train_loss: 1.5939582268397012,val_loss: 1.5674167076746623, val_perplexity: 4.794247240925138
train_loss: 1.5953211148579916,val_loss: 1.580021051565806, val_perplexity: 4.855058016734968
train_loss: 1.5879406015078226,val_loss: 1.5790272633234659, val_perplexity: 4.850235513832297
train_loss: 1.5849435607592264,val_loss: 1.573899261156718, val_perplexity: 4.825427158621955
